"Licence Number","Date Licence Granted","Premises Name","Premises Address","Licence Holder","Designated Premises Supervisor","Supply of Alcohol","Late Night Refreshment","Live Music","Recorded Music","Opening Hours","Plays","Films","Indoor Sporting Events","Boxing or Wrestling Entertainment","Performance of Dance","Other Entertainment Similar to Live or Recorded Music or Dance Performance","Facilities for Making Music","Facilities for Dancing","Other Entertainment Facilities Similar to Making Music or Dancing"
"50088","25/08/2018","McDonald's Restaurants Ltd","McDonald's - Dagenham Leisure Park, Cook Road, Dagenham, RM9 6UQ JPB Restaurants Limited","","","","23:00-05:00^Fri 23:00-05:00^Sat 23:00-05:00^Sun 23:00-","","","Mon 00:00-23:59^Tue 00:00-23:59^Wed 00:00-23:59^Thu00:00-23:59^Fri 00:00-23:59^Sat 00:00-23:59","","","","","","","","",""
"50628","11/03/2018","Moon Food Store","173 Broad Street, Dagenham, RM10 9HX Adel Alavy","","Adel Alavy","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 09:30-22:30","","","","Mon 06:30-23:00^Tue 06:30-23:00^Wed 06:30-23:00^Thu06:30-23:00^Fri 06:30-23:00^Sat 06:30-23:00^Sun 06:30-23:00","","","","","","","","",""
"51352","18/12/2018","Dadinho Distribution Ltd","784 Green Lane, Dagenham, RM8 1YT Ikoelenga Essumbu","","Ikoelenga Essumbu","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-23:00^Sat 10:00-23:00^Sun 10:00-23:00","","","","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 08:00-23:00","","","","","","","","",""
"53623","07/03/2019","Mill House Social Club","307 New  Road Dagenham RM10 9ND James Creed","","Ken Brow n","Mon 09:00-00:00^Tue 09:00-00:00^Wed 09:00-00:00^Thu09:00-00:00^Fri 09:00-00:00^Sat 09:00-00:00^Sun 09:00-00:00","Mon 23:00-00:00^Tue 23:00-00:00^Wed 23:00-00:00^Thu23:00-00:00^Fri 23:00-00:00^Sat 23:00-00:00^Sun 23:00-00:00","Mon 09:00-00:00^Tue 09:00-00:00^Wed 09:00-00:00^Thu09:00-00:00^Fri 09:00-00:00^Sat 09:00-00:00^Sun 09:00-00:00","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 10:00-00:00","Mon 09:00-00:00^Tue 09:00-00:00^Wed 09:00-00:00^Thu09:00-00:00^Fri 09:00-00:00^Sat 09:00-00:00^Sun 09:00-00:00","","","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 10:00-00:00","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 10:00-00:00","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 10:00-00:00","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 10:00-00:00","","",""
"54762","25/07/2019","Tav Supermarket","194 High Road, Chadw ell Heath, RM6 6LU Andrei Trinca","","Mihai Uatu","Mon 09:00-23:00^Tue 09:00-23:00^Wed 09:00-23:00^Thu09:00-23:00^Fri 09:00-23:00^Sat 09:00-23:00^Sun 09:00-22:00","","","","Mon 09:00-23:00^Tue 09:00-23:00^Wed 09:00-23:00^Thu09:00-23:00^Fri 09:00-23:00^Sat 09:00-23:00^Sun 09:00-22:00","","","","","","","","",""
"54793","08/02/2019","McDonalds","129 Whalebone Lane South, Dagenham, RM8 1AT Beaconstead Ltd","","","","","","","","","","","","","","","",""
"54793","08/02/2019","McDonalds","129 Whalebone Lane South, Dagenham, RM8 1AT Beaconstead Ltd","","Christopher Daryl Paw son","Mon 07:00-00:00^Tue 07:00-00:00^Wed 07:00-00:00^Thu","","","","Mon 07:00-23:00^Tue 07:00-23:00^Wed 07:00-23:00^Thu","","","","","","","","",""
"55179","16/10/2019","Lidl","79 Whalebone Lane South, Dagenham, RM8 1AJ Lidl Great Britain limited","","Christopher Daryl Paw son","07:00-00:00^Fri 07:00-00:00^Sat 07:00-00:00^Sun 07:00-00:00","","","","07:00-23:00^Fri 07:00-23:00^Sat 07:00-23:00^Sun 07:00-23:00","","","","","","","","",""
"55546","21/11/2019","JJ Food Service Limited","Units 4, Orion Park, Messina Way, Dagenham, RM9 6FF JJ Food Services","","Sedat Kaan Hendeki","Mon 06:00-18:00^Tue 06:00-18:00^Wed 06:00-18:00^Thu06:00-18:00^Fri 06:00-18:00^Sat 06:00-18:00^Sun 08:00-16:00","","","","Mon 06:00-18:00^Tue 06:00-18:00^Wed 06:00-18:00^Thu06:00-18:00^Fri 06:00-18:00^Sat 06:00-18:00^Sun 08:00-16:00","","","","","","","","",""
"55594","12/05/2019","Pizza Di Lengo","94 Longbridge Road, Barking, IG11 8SF Mank Private LTD","","Maslinia Siddique","Mon 09:00-23:00^Tue 09:00-23:00^Wed 09:00-23:00^Thu09:00-23:00^Fri 09:00-23:00^Sat 09:00-23:00^Sun 09:00-23:00","","","","Mon 09:00-23:59^Tue 09:00-23:59^Wed 09:00-23:59^Thu09:00-23:59^Fri 09:00-23:59^Sat 09:00-23:59^Sun 09:00-23:59","","","","","","","","",""
"55630","01/03/2020","Jo Richardson Secondary School","Gale Street, Dagenham, Essex, RM9 4UN Jo Rihardson SecondaySchool","","","","Mon 23:00-02:00^Tue 23:00-02:00^Wed 23:00-02:00^Thu23:00-02:00^Fri 23:00-02:00^Sat 23:00-02:00^Sun 23:00-02:00","Mon 08:30-02:00^Tue 08:30-02:00^Wed 08:30-02:00^Thu08:30-02:00^Fri 08:30-02:00^Sat 08:30-02:00^Sun 08:30-02:00","Mon 08:30-02:00^Tue 08:30-02:00^Wed 08:30-02:00^Thu08:30-02:00^Fri 08:30-02:00^Sat 08:30-02:00^Sun 08:30-02:00","Mon 08:30-00:00^Tue 08:30-00:00^Wed 08:30-00:00^Thu08:30-00:00^Fri 08:30-00:00^Sat 08:30-00:00^Sun 08:30-00:00","","","Mon 08:30-02:00^Tue 08:30-02:00^Wed 08:30-02:00^Thu08:30-02:00^Fri 08:30-02:00^Sat 08:30-02:00^Sun 08:30-02:00","Mon 08:30-02:00^Tue 08:30-02:00^Wed 08:30-02:00^Thu08:30-02:00^Fri 08:30-02:00^Sat 08:30-02:00^Sun 08:30-02:00","","","","",""
"55745","24/12/2019","Co-Op","Unit 1, 19 Hugget Road, Barking, IG11 0ZH Co-operative Group Food Limited","","Waqqas Ali Javed","Mon 07:00-23:00^Tue 07:00-23:00^Wed 07:00-23:00^Thu07:00-23:00^Fri 07:00-23:00^Sat 07:00-23:00^Sun 07:00-23:00","","","","Mon 07:00-23:00^Tue 07:00-23:00^Wed 07:00-23:00^Thu07:00-23:00^Fri 07:00-23:00^Sat 07:00-23:00^Sun 07:00-23:00","","","","","","","","",""
"56294","26/02/2020","Royal Park Express","12 Faircross Parade, Longbridge Road, Barking, IG11 8UN Kajan Sivasuthan","","Kajan Sivasuthan","Mon 09:00-23:00^Tue 09:00-23:00^Wed 09:00-23:00^Thu09:00-23:00^Fri 09:00-23:00^Sat 09:00-23:00^Sun 09:00-23:00","Mon 23:00-05:00^Tue 23:00-05:00^Wed 23:00-05:00^Thu23:00-05:00^Fri 23:00-05:00^Sat 23:00-05:00^Sun 23:00-05:00","","","","","","","","","","","",""
"56397","25/03/2020","Porters Fresh Fruit & Groceries","8 Porters Avenue, Dagenham, RM8 2AQ Porters Fresh Fruit and Groceries LTD","","","Mon 10:00-21:00^Tue 10:00-21:00^Wed 10:00-21:00^Thu10:00-21:00^Fri 10:00-21:00^Sat 10:00-21:00^Sun 10:00-21:00","","","","Mon 08:00-22:00^Tue 08:00-22:00^Wed 08:00-22:00^Thu08:00-22:00^Fri 08:00-22:00^Sat 08:00-22:00^Sun 08:00-22:00","","","","","","","","",""
"56549","21/04/2020","Plaiul Moldovei Olivsilv Romanian Food","74 Longbridge Road, Barking, IG11 8SF Olivsilv Romanian Food LTD","","Silviu Oliver Ciaciru","Mon 09:00-23:00^Tue 09:00-23:00^Wed 09:00-23:00^Thu09:00-23:00^Fri 09:00-23:00^Sat 09:00-23:00^Sun 10:00-22:00","","","","Mon 09:00-23:00^Tue 09:00-23:00^Wed 09:00-23:00^Thu09:00-23:00^Fri 09:00-23:00^Sat 09:00-23:00^Sun 10:00-22:00","","","","","","","","",""
"56576","06/03/2020","7Even Resturant","230 High Road, Chadw ell Heath, Romford, Essex, RM6 6AP Keisha Rankin","","Keisha Rankin","Mon 11:30-22:30^Tue 11:30-22:30^Wed 11:30-22:30^Thu11:30-22:30^Fri 11:30-22:30^Sat 11:30-22:30^Sun 11:30-22:30","","","","Mon 11:30-22:30^Tue 11:30-22:30^Wed 11:30-22:30^Thu11:30-22:30^Fri 11:30-22:30^Sat 11:30-22:30^Sun 11:30-22:30","","","","","","","","",""
"56605","16/02/2021","We Are FSTVL","Central Park, Rainham Road North, Dagenham, RM10 7EJ Rebelia Festival Trading Ltd","","Lew is Meehan","Sat 11:00-22:30^Sun 11:00-22:30Mon 14:00-22:00^Tue 14:00-22:00^Wed 14:00-22:00^Thu","","Sat 11:00-22:00^Sun 11:00-21:30","Sat 11:00-22:00^Sun 11:00-21:30Mon 14:00-22:00^Tue 14:00-22:00^Wed 14:00-22:00^Thu","Sat 11:00-22:00^Sun 11:00-21:30Mon 14:00-22:00^Tue 14:00-22:00^Wed 14:00-22:00^Thu","","Sat 11:00-22:30^Sun 11:00-22:30","","","Sat 11:00-22:00^Sun 11:00-21:30","Sat 11:00-22:00^Sun 11:00-21:30","Sat 11:00-22:00^Sun 11:00-21:30","Sat 11:00-22:00^Sun 11:00-21:30","Sat 11:00-22:00^Sun 11:30-21:30"
"56611","07/03/2020","Ventidue LTD","22 Whitebarn Lane, Dagenham, RM10 9LH Behar Sadria","","Ermal Demuqaj","14:00-22:00^Fri 14:00-22:00^Sat 14:00-22:00^Sun 14:00-22:00","","","14:00-22:00^Fri 14:00-22:00^Sat 14:00-22:00^Sun 14:00-22:00","14:00-22:00^Fri 14:00-22:00^Sat 14:00-22:00^Sun 14:00-22:00","","","","","","","","",""
"56652","14/08/2020","Wolf","242 Bennetts Castle Lane, Dagenham, Essex, RM8 3UU Bekim Hyseni","","Bekim Hyseni","10:00-23:00^Fri 10:00-23:00^Sat 10:00-23:00^Sun 10:00-","Mon 23:00-00:00^Tue 23:00-00:00^Wed 23:00-00:00^Thu23:00-00:00","","","06:00-23:00^Fri 06:00-23:00^Sat 06:00-23:00^Sun 06:00-","","","","","","","","",""
"","","","","","","Mon 12:00-00:00^Tue 12:00-00:00^Wed 12:00-00:00^Thu00:00Mon 11:00-23:45^Tue 11:00-23:45^Wed 11:00-23:45^Thu22:45","Mon 23:00-00:00^Tue 23:00-00:00^Wed 23:00-00:00^Thu00:00","","Mon 12:00-00:00^Tue 12:00-00:00^Wed 12:00-00:00^Thu00:00","Mon 12:00-00:00^Tue 12:00-00:00^Wed 12:00-00:00^Thu00:00Mon 06:00-00:00^Tue 06:00-00:00^Wed 06:00-00:00^Thu22:45","Mon 12:00-00:00^Tue 12:00-00:00^Wed 12:00-00:00^Thu00:00","Mon 12:00-00:00^Tue 12:00-00:00^Wed 12:00-00:00^Thu02:00","Mon 12:00-00:00^Tue 12:00-00:00^Wed 12:00-00:00^Thu00:00","Mon 12:00-00:00^Tue 12:00-00:00^Wed 12:00-00:00^Thu00:00","Mon 12:00-00:00^Tue 12:00-00:00^Wed 12:00-00:00^Thu00:00","","","",""
"56667","28/07/2020","Elif Food Centre","714-720 Green Lane, Dagenham, RM8 1YX Licensee one - Fiket Demir","Kamil Hayirli","","Mon 08:30-23:00^Tue 08:30-23:00^Wed 08:30-23:00^Thu08:30-23:00^Fri 08:30-23:00^Sat 08:30-23:00^Sun 08:30-23:00","","","","Mon 08:30-23:00^Tue 08:30-23:00^Wed 08:30-23:00^Thu08:30-23:00^Fri 08:30-23:00^Sat 08:30-23:00^Sun 08:30-23:00","","","","","","","","",""
